英文,中文,类别
humor,幽默,单词
humourous,幽默的,单词
sense of humour,幽默感,短语
invite,邀请,单词
invitation,邀请函,单词
invent,发明,单词
invention,发明物,单词
invite sb. to do sth.,邀请某人做某事,短语
an invitation to sth.,对某事的邀请,短语
pleasure,快乐,单词
pleased,高兴的,单词
pleasant,令人愉快的,单词
be pleased with,对...感到满意,短语
be happy with,对...感到高兴,短语
be satisfied with,对...感到满意,短语
be pleased to do sth.,高兴做某事,短语
It is a pleasure for sb. to do sth.,对某人来说做某事是一种快乐,句子
action,行动,单词
act,行动,单词
active,积极的,单词
actor,男演员,单词
actress,女演员,单词
activity,活动,单词
take action to do sth.,采取行动做某事,短语
reduce,减少,单词
decrease,减少,单词
reduction,减少量,单词
increase,增加,单词
increase knowledge,增加知识,短语
achievement,成就,单词
achieve,实现,单词
make an achievement,取得成就,短语
achieve one's goals,实现目标,短语
(doing) sth. give sb. a strong sense of achievement,(做)某事给某人带来强烈的成就感,句子
difficult,困难的,单词
difficulty,困难,单词
have difficulty doing sth.,做某事有困难,短语
have trouble doing sth.,做某事有麻烦,短语
struggle with math,数学困难,短语
without difficulty,没有困难,短语
consider,考虑,单词
considerate,体贴的,单词
consider as,视为,短语
consider to be ,认为是,短语
exactly,确切地,单词
exact,确切的,单词
sit,坐,单词
seat,座位,单词
